tenure_months,contract,internet_service,monthly_charges,churn
28,Two year,No,16.11,0
45,Month-to-month,Fiber optic,63.97,1
23,Two year,DSL,49.59,0
25,Month-to-month,Fiber optic,62.03,0
44,Month-to-month,Fiber optic,70.4,0
41,Month-to-month,DSL,54.98,1
42,One year,DSL,58.54,0
28,Month-to-month,DSL,53.31,0
29,Two year,DSL,50.42,0
0,Month-to-month,DSL,43.3,0
43,Month-to-month,DSL,38.17,0
42,One year,Fiber optic,76.47,0
68,Month-to-month,DSL,32.39,0
36,One year,Fiber optic,71.43,0
34,Month-to-month,Fiber optic,57.09,0
4,Two year,DSL,44.5,0
14,One year,Fiber optic,57.36,1
24,Month-to-month,Fiber optic,65.19,0
27,Month-to-month,Fiber optic,61.89,0
26,Month-to-month,DSL,35.44,0
28,Two year,DSL,43.95,0
56,One year,Fiber optic,40.91,0
9,Month-to-month,Fiber optic,48.37,1
24,Month-to-month,Fiber optic,79.64,0
11,Two year,Fiber optic,71.77,1
22,Month-to-month,Fiber optic,61.32,0
49,One year,Fiber optic,81.69,0
3,One year,DSL,37.33,0
24,Month-to-month,DSL,38.04,1
1,Month-to-month,Fiber optic,60.6,0
69,Month-to-month,Fiber optic,92.88,0
53,Month-to-month,Fiber optic,72.82,0
17,Two year,Fiber optic,72.35,0
14,One year,Fiber optic,75.6,0
7,Two year,No,2.77,0
34,Month-to-month,DSL,37.87,0
55,Month-to-month,Fiber optic,75.46,0
42,One year,Fiber optic,69.95,0
64,Month-to-month,DSL,71.47,0
25,Month-to-month,No,18.58,1
20,Month-to-month,Fiber optic,81.32,1
34,One year,DSL,54.67,1
14,One year,Fiber optic,71.71,0
71,Month-to-month,DSL,48.89,0
13,Two year,Fiber optic,66.52,0
34,Month-to-month,DSL,21.32,1
38,Month-to-month,Fiber optic,74.19,1
4,Month-to-month,DSL,50.14,0
34,Two year,DSL,52.03,0
33,Month-to-month,DSL,45.76,0
18,Month-to-month,DSL,56.64,0
9,Month-to-month,Fiber optic,59.61,1
3,One year,DSL,62.62,1
0,One year,Fiber optic,58.15,1
35,Month-to-month,DSL,43.71,0
6,Two year,Fiber optic,78.17,0
70,Month-to-month,Fiber optic,63.82,0
17,Month-to-month,Fiber optic,78.99,1
47,One year,No,20.89,0
49,One year,DSL,46.42,0
36,Month-to-month,Fiber optic,67.83,0
64,One year,DSL,38.08,0
8,Month-to-month,Fiber optic,97.01,1
17,One year,Fiber optic,59.92,0
18,One year,Fiber optic,42.57,0
9,Two year,DSL,35.36,1
21,Month-to-month,No,26.58,0
22,One year,No,20.48,0
55,One year,Fiber optic,82.22,0
22,Month-to-month,Fiber optic,81.79,0
63,Month-to-month,DSL,41.18,0
56,Two year,Fiber optic,49.81,0
65,Month-to-month,DSL,29.6,0
7,One year,No,24.61,0
71,Month-to-month,Fiber optic,51.23,0
44,Two year,Fiber optic,65.59,0
71,Month-to-month,DSL,62.06,0
25,Two year,DSL,49.11,0
69,One year,No,25.55,0
42,Month-to-month,DSL,32.51,0
5,One year,Fiber optic,72.18,1
29,One year,DSL,41.9,0
10,Month-to-month,DSL,47.86,1
68,Month-to-month,No,33.73,0
22,One year,Fiber optic,80.78,0
16,One year,DSL,46.55,0
40,Month-to-month,Fiber optic,76.14,0
31,Two year,Fiber optic,63.86,0
7,Month-to-month,No,38.59,0
59,Month-to-month,No,14.35,0
61,One year,DSL,42.51,0
54,Month-to-month,No,39.84,0
45,Month-to-month,Fiber optic,64.22,0
29,Month-to-month,DSL,28.91,0
39,Month-to-month,DSL,40.07,0
38,Month-to-month,DSL,61.7,0
12,One year,DSL,17.75,0
5,Month-to-month,DSL,46.23,0
18,Two year,DSL,37.39,0
33,One year,Fiber optic,67.99,0
11,Month-to-month,DSL,40.82,1
7,Month-to-month,Fiber optic,81.53,1
62,One year,Fiber optic,70.65,0
27,Month-to-month,DSL,57.13,0
42,Month-to-month,DSL,60.41,0
38,Two year,No,25.36,0
53,One year,Fiber optic,65.69,0
54,One year,Fiber optic,74.53,0
21,Month-to-month,DSL,51.84,0
61,Month-to-month,DSL,31.16,0
27,Month-to-month,No,27.83,0
60,One year,DSL,41.96,0
29,Month-to-month,DSL,39.96,0
8,Month-to-month,DSL,36.71,0
55,Month-to-month,Fiber optic,62.49,0
2,One year,No,40.07,0
56,One year,DSL,40.63,0
3,Month-to-month,Fiber optic,83.73,1
15,Month-to-month,DSL,46.57,0
44,Month-to-month,DSL,31.41,0
68,Month-to-month,Fiber optic,72.29,0
29,Month-to-month,Fiber optic,55.74,0
8,Month-to-month,DSL,52.29,0
17,One year,No,22.51,0
65,One year,DSL,55.26,0
53,Two year,Fiber optic,87.2,0
7,Two year,DSL,24.18,0
28,Month-to-month,Fiber optic,64.47,0
19,Month-to-month,Fiber optic,55.49,1
12,Month-to-month,Fiber optic,95.9,1
61,One year,DSL,39.72,0
45,Month-to-month,Fiber optic,54.22,1
13,Month-to-month,Fiber optic,96.88,1
47,Month-to-month,Fiber optic,61.29,0
30,Month-to-month,DSL,25.54,0
4,One year,Fiber optic,56.1,1
32,One year,Fiber optic,71.72,0
13,Month-to-month,DSL,45.55,0
17,Two year,DSL,34.97,0
64,Month-to-month,DSL,39.18,0
51,Month-to-month,Fiber optic,70.64,0
9,Month-to-month,DSL,60.89,0
62,One year,DSL,49.0,0
41,One year,DSL,38.24,0
63,Month-to-month,DSL,42.26,0
54,Two year,Fiber optic,79.24,0
24,Month-to-month,Fiber optic,90.16,1
39,Month-to-month,Fiber optic,56.74,1
38,One year,Fiber optic,83.37,0
52,Two year,No,21.25,0
18,One year,Fiber optic,50.51,0
24,Two year,DSL,23.13,0
17,Month-to-month,No,41.01,0
21,One year,DSL,62.44,1
11,Two year,Fiber optic,63.17,1
2,Month-to-month,No,22.45,1
68,Month-to-month,Fiber optic,48.61,0
5,Two year,Fiber optic,79.14,0
64,Month-to-month,Fiber optic,69.66,0
0,Month-to-month,Fiber optic,51.37,1
56,Two year,DSL,47.46,0
23,Two year,Fiber optic,53.33,0
37,Two year,DSL,51.69,0
20,Two year,Fiber optic,57.01,0
35,Month-to-month,No,29.04,0
32,Two year,Fiber optic,62.16,0
38,Month-to-month,No,-3.39,0
28,One year,Fiber optic,81.95,0
39,Month-to-month,DSL,57.61,0
60,Two year,DSL,38.74,0
31,One year,DSL,48.29,0
26,Two year,Fiber optic,75.26,0
9,Month-to-month,DSL,50.65,1
26,Month-to-month,DSL,65.71,0
9,Month-to-month,DSL,50.0,1
13,Month-to-month,DSL,40.71,0
69,One year,No,30.13,0
6,Month-to-month,No,19.84,0
35,One year,DSL,32.21,0
60,Month-to-month,Fiber optic,84.64,0
69,Month-to-month,Fiber optic,76.41,0
10,One year,DSL,22.66,0
11,Month-to-month,No,16.8,1
27,Month-to-month,Fiber optic,79.09,1
40,Month-to-month,Fiber optic,51.23,1
70,Month-to-month,Fiber optic,,0
15,One year,Fiber optic,101.94,0
12,Month-to-month,No,21.03,1
18,Month-to-month,DSL,57.99,0
63,One year,Fiber optic,88.01,0
2,Month-to-month,Fiber optic,59.1,1
27,One year,Fiber optic,73.2,0
8,Month-to-month,DSL,69.71,0
11,Two year,DSL,50.51,0
66,Month-to-month,Fiber optic,98.39,0
0,Month-to-month,Fiber optic,62.36,0
23,Two year,No,46.57,0
66,One year,DSL,,0
44,One year,DSL,41.07,0
5,Two year,DSL,52.68,0
33,Month-to-month,No,23.66,1
70,Two year,DSL,43.99,0
29,One year,No,30.82,0
38,Month-to-month,Fiber optic,48.31,0
38,Month-to-month,Fiber optic,60.42,0
48,Month-to-month,Fiber optic,78.67,0
13,Two year,DSL,56.9,0
61,Month-to-month,DSL,49.29,0
72,Month-to-month,Fiber optic,73.31,0
10,One year,No,29.83,0
59,One year,No,36.49,0
59,Month-to-month,Fiber optic,52.89,0
54,Two year,DSL,38.89,0
27,Month-to-month,DSL,44.11,0
34,Two year,Fiber optic,72.35,1
61,Month-to-month,DSL,19.68,0
11,Month-to-month,Fiber optic,54.91,0
60,One year,No,24.8,0
67,Month-to-month,DSL,57.16,0
49,Month-to-month,No,19.97,0
24,Month-to-month,DSL,37.0,0
40,One year,Fiber optic,76.34,0
3,Two year,Fiber optic,66.06,0
68,Two year,DSL,55.57,0
24,Two year,Fiber optic,67.34,0
4,Two year,DSL,31.62,0
57,Month-to-month,Fiber optic,87.05,0
48,Month-to-month,Fiber optic,84.85,1
45,Two year,DSL,33.53,0
3,Two year,DSL,49.75,0
54,Two year,DSL,41.08,0
46,One year,DSL,52.43,0
57,Month-to-month,Fiber optic,59.49,0
60,Two year,DSL,55.46,0
15,Two year,DSL,59.34,0
15,One year,DSL,33.63,0
67,Two year,Fiber optic,70.81,0
38,One year,DSL,59.59,0
31,Two year,Fiber optic,57.98,0
20,Month-to-month,DSL,36.97,1
46,Two year,Fiber optic,77.94,0
55,Month-to-month,DSL,43.07,0
0,Month-to-month,DSL,26.1,0
40,Month-to-month,DSL,41.16,0
72,Month-to-month,DSL,65.96,0
20,Month-to-month,DSL,69.75,0
20,Two year,Fiber optic,62.35,0
64,One year,DSL,34.04,0
4,Two year,No,19.5,0
29,Month-to-month,Fiber optic,91.62,0
33,Month-to-month,Fiber optic,80.11,1
58,One year,DSL,62.57,0
9,One year,Fiber optic,81.98,0
31,Month-to-month,DSL,29.17,1
11,Two year,DSL,33.61,0
57,Two year,DSL,36.65,0
46,One year,Fiber optic,63.74,0
36,Two year,Fiber optic,61.86,0
28,One year,DSL,38.26,0
11,One year,Fiber optic,77.69,0
67,Month-to-month,DSL,46.63,0
47,Month-to-month,Fiber optic,84.64,1
23,Month-to-month,Fiber optic,73.02,1
30,One year,Fiber optic,61.88,0
53,One year,Fiber optic,72.26,0
52,Month-to-month,DSL,26.86,0
33,One year,DSL,17.26,0
22,Month-to-month,DSL,52.72,0
48,Month-to-month,DSL,57.22,1
48,Two year,Fiber optic,70.87,0
43,Month-to-month,Fiber optic,65.3,1
5,Month-to-month,DSL,28.9,0
34,Month-to-month,Fiber optic,84.0,1
44,Month-to-month,Fiber optic,75.91,0
69,One year,Fiber optic,73.49,0
38,Two year,DSL,44.94,0
25,One year,Fiber optic,64.37,0
40,One year,Fiber optic,56.64,0
12,Month-to-month,DSL,48.03,0
6,One year,DSL,38.54,0
49,Month-to-month,Fiber optic,64.91,1
71,Month-to-month,DSL,65.61,0
61,Two year,Fiber optic,69.42,0
42,Month-to-month,Fiber optic,40.56,1
2,Month-to-month,Fiber optic,63.57,0
72,Month-to-month,Fiber optic,57.98,0
32,Two year,Fiber optic,,0
21,Month-to-month,DSL,27.91,0
65,Month-to-month,Fiber optic,75.2,0
54,Two year,No,21.45,0
54,Month-to-month,Fiber optic,64.29,0
20,Two year,Fiber optic,71.8,0
72,Month-to-month,DSL,44.08,0
33,One year,DSL,43.38,0
38,Two year,Fiber optic,67.31,0
54,Month-to-month,Fiber optic,69.76,0
48,One year,DSL,49.12,0
12,Month-to-month,Fiber optic,72.62,1
22,One year,DSL,58.52,0
26,Two year,DSL,38.44,1
69,One year,Fiber optic,72.86,0
52,Two year,DSL,74.35,0
26,One year,Fiber optic,69.51,1
53,One year,DSL,44.97,0
53,Month-to-month,No,9.84,0
28,One year,DSL,36.44,0
29,Two year,No,23.72,0
65,One year,DSL,51.4,0
41,Month-to-month,Fiber optic,77.79,1
10,Month-to-month,Fiber optic,73.92,1
52,One year,Fiber optic,79.65,1
43,Two year,Fiber optic,58.01,0
37,Month-to-month,DSL,50.87,0
52,Month-to-month,DSL,45.16,1
66,Month-to-month,DSL,46.5,0
24,Month-to-month,Fiber optic,65.65,1
30,Two year,Fiber optic,58.56,0
13,Month-to-month,Fiber optic,55.42,0
47,Month-to-month,No,28.85,0
29,Month-to-month,Fiber optic,75.97,0
24,Month-to-month,Fiber optic,68.45,0
50,Two year,Fiber optic,69.82,0
29,Month-to-month,No,16.36,0
33,Month-to-month,Fiber optic,76.04,0
32,Month-to-month,DSL,45.73,1
18,Two year,Fiber optic,65.61,0
9,Two year,Fiber optic,80.39,1
60,Month-to-month,DSL,52.74,0
6,One year,DSL,26.57,0
23,Month-to-month,DSL,45.59,1
48,One year,Fiber optic,58.5,0
9,Month-to-month,No,26.67,0
47,Two year,DSL,7.18,0
53,Two year,No,27.37,0
48,Month-to-month,Fiber optic,78.54,0
22,Month-to-month,Fiber optic,68.67,1
1,Month-to-month,Fiber optic,56.02,0
64,Month-to-month,DSL,68.48,0
23,Month-to-month,DSL,58.87,0
58,Month-to-month,DSL,38.63,0
14,Two year,Fiber optic,66.87,0
11,Month-to-month,Fiber optic,46.23,0
56,Two year,Fiber optic,75.68,0
68,Month-to-month,DSL,28.57,0
62,Month-to-month,Fiber optic,78.0,1
54,Month-to-month,Fiber optic,82.31,1
18,Two year,Fiber optic,69.16,1
66,Month-to-month,Fiber optic,57.23,0
48,Month-to-month,No,39.99,0
12,One year,Fiber optic,70.03,1
9,One year,No,26.12,0
63,One year,DSL,33.82,0
20,Month-to-month,DSL,47.32,0
55,Month-to-month,Fiber optic,67.57,0
10,Two year,DSL,29.06,1
20,One year,DSL,61.08,0
20,One year,Fiber optic,91.11,0
20,Month-to-month,No,37.22,0
49,Month-to-month,Fiber optic,80.43,1
66,Two year,Fiber optic,91.18,0
66,One year,Fiber optic,57.43,0
54,Month-to-month,DSL,32.29,1
14,Two year,Fiber optic,65.03,1
70,One year,Fiber optic,73.57,0
39,Month-to-month,Fiber optic,66.49,0
39,Month-to-month,Fiber optic,57.76,1
51,One year,Fiber optic,70.07,1
56,Month-to-month,DSL,,0
69,One year,Fiber optic,80.1,0
42,One year,No,25.53,0
44,Month-to-month,DSL,22.15,0
54,Two year,DSL,49.63,0
18,Month-to-month,No,43.98,0
22,Month-to-month,Fiber optic,70.35,1
45,One year,DSL,56.84,0
4,One year,Fiber optic,63.94,1
23,Month-to-month,Fiber optic,76.79,0
52,One year,Fiber optic,61.06,0
71,Two year,DSL,42.04,0
37,Two year,DSL,42.14,0
29,Two year,Fiber optic,75.72,0
32,Month-to-month,DSL,35.11,0
50,Month-to-month,Fiber optic,52.42,0
39,One year,Fiber optic,75.64,0
1,Month-to-month,Fiber optic,75.19,0
39,One year,DSL,46.35,1
29,Month-to-month,DSL,56.19,0
51,Month-to-month,Fiber optic,67.57,0
63,Month-to-month,Fiber optic,73.38,0
70,Month-to-month,DSL,40.8,1
44,Month-to-month,DSL,41.9,0
26,One year,Fiber optic,74.08,0
32,One year,DSL,72.2,0
12,Month-to-month,DSL,53.91,1
68,Month-to-month,Fiber optic,76.58,0
61,Two year,Fiber optic,79.28,0
62,Month-to-month,No,-3.17,0
23,Month-to-month,Fiber optic,73.83,1
23,Month-to-month,Fiber optic,80.93,0
62,One year,DSL,46.01,0
39,Two year,DSL,44.48,0
51,One year,DSL,33.72,0
35,Two year,DSL,39.8,0
32,Two year,Fiber optic,60.0,0
46,Month-to-month,DSL,56.99,0
59,Month-to-month,Fiber optic,88.02,0
24,Month-to-month,DSL,68.22,0
59,Month-to-month,Fiber optic,59.8,0
17,One year,Fiber optic,61.98,0
29,Month-to-month,Fiber optic,61.0,1
66,Month-to-month,DSL,32.78,0
69,Month-to-month,DSL,32.97,0
67,One year,DSL,38.81,0
23,One year,Fiber optic,80.49,1
61,Two year,Fiber optic,61.39,0
68,Month-to-month,DSL,57.64,0
71,Month-to-month,Fiber optic,86.41,0
1,Two year,DSL,48.42,0
54,One year,No,39.75,0
72,One year,DSL,28.66,0
55,Month-to-month,Fiber optic,63.3,1
17,Month-to-month,DSL,47.27,0
55,Two year,No,27.68,0
7,One year,DSL,62.15,0
35,One year,DSL,33.01,0
45,Month-to-month,Fiber optic,63.56,0
33,Month-to-month,DSL,43.98,0
51,Month-to-month,Fiber optic,63.78,0
17,One year,DSL,32.49,1
44,Month-to-month,DSL,39.28,0
47,Month-to-month,No,22.05,0
46,Month-to-month,Fiber optic,87.37,0
21,Two year,DSL,32.76,1
22,Month-to-month,Fiber optic,79.78,1
18,Month-to-month,Fiber optic,85.27,1
33,One year,DSL,38.85,0
42,Two year,DSL,48.12,0
26,One year,Fiber optic,76.91,0
29,Two year,DSL,49.93,0
20,Month-to-month,DSL,45.99,0
15,Two year,DSL,36.85,0
47,Two year,DSL,52.95,0
59,Month-to-month,DSL,40.51,0
21,One year,Fiber optic,70.34,0
62,Month-to-month,Fiber optic,72.11,0
41,Month-to-month,DSL,55.27,0
12,Month-to-month,DSL,68.14,0
26,Month-to-month,Fiber optic,61.15,1
0,Two year,Fiber optic,70.63,0
2,Month-to-month,No,7.19,0
24,One year,DSL,62.78,0
33,Month-to-month,DSL,45.53,0
58,Month-to-month,DSL,41.4,0
9,Month-to-month,No,25.63,1
61,Month-to-month,DSL,46.23,0
17,One year,Fiber optic,61.22,0
10,Two year,DSL,59.26,0
51,Month-to-month,No,32.74,0
56,Two year,DSL,54.41,0
44,One year,Fiber optic,61.84,0
8,One year,No,16.19,0
8,Month-to-month,DSL,43.64,1
28,Month-to-month,Fiber optic,79.6,0
32,Two year,No,31.02,0
72,One year,DSL,35.67,0
20,Month-to-month,DSL,53.01,0
14,Two year,No,13.33,0
69,Month-to-month,Fiber optic,62.06,0
11,One year,DSL,46.89,0
1,Month-to-month,Fiber optic,55.94,0
30,Two year,DSL,33.44,0
29,Month-to-month,DSL,63.63,0
45,Month-to-month,DSL,61.4,1
64,One year,DSL,72.48,0
68,Month-to-month,DSL,50.41,0
21,Two year,Fiber optic,77.74,0
71,One year,Fiber optic,68.14,0
46,Month-to-month,Fiber optic,65.79,1
5,Month-to-month,DSL,55.46,0
68,Two year,DSL,61.34,0
10,One year,DSL,54.44,0
42,Two year,Fiber optic,59.92,0
57,Month-to-month,DSL,49.7,0
18,Two year,Fiber optic,60.76,0
19,Month-to-month,No,21.11,0
34,One year,DSL,64.63,0
64,Month-to-month,DSL,30.61,0
16,Month-to-month,DSL,71.02,0
48,Two year,Fiber optic,76.59,0
33,Two year,Fiber optic,64.41,0
8,Month-to-month,DSL,45.82,0
51,Two year,DSL,36.78,1
60,Month-to-month,Fiber optic,63.44,0
42,Month-to-month,Fiber optic,70.88,0
12,Month-to-month,DSL,41.05,1
11,Month-to-month,Fiber optic,58.8,1
30,Month-to-month,Fiber optic,67.34,0
36,Month-to-month,DSL,29.22,0
40,Month-to-month,No,9.74,0
17,One year,Fiber optic,54.62,0
36,Two year,Fiber optic,90.06,0
21,One year,Fiber optic,74.87,1
50,Month-to-month,Fiber optic,77.15,0
58,One year,DSL,45.14,0
47,Month-to-month,Fiber optic,76.08,0
0,One year,Fiber optic,84.11,1
72,One year,No,29.89,0
1,Month-to-month,DSL,64.68,0
72,Month-to-month,Fiber optic,69.55,0
2,Two year,Fiber optic,77.19,0
37,Two year,DSL,53.45,0
7,One year,DSL,33.82,1
6,Two year,No,25.51,0
49,Two year,Fiber optic,47.9,0
53,Month-to-month,DSL,43.44,0
8,One year,Fiber optic,66.65,0
71,Month-to-month,Fiber optic,65.93,0
23,Month-to-month,DSL,40.11,1
23,Month-to-month,DSL,51.14,0
21,Two year,Fiber optic,59.37,1
33,One year,Fiber optic,92.32,1
12,Month-to-month,DSL,51.81,0
31,Month-to-month,Fiber optic,60.36,0
15,Month-to-month,Fiber optic,77.77,0
3,One year,Fiber optic,81.94,1
26,Two year,Fiber optic,74.43,1
49,Month-to-month,DSL,32.93,0
55,Month-to-month,Fiber optic,96.85,0
25,One year,DSL,52.67,0
23,Month-to-month,DSL,30.03,0
57,Month-to-month,Fiber optic,72.51,1
49,Month-to-month,DSL,42.36,0
60,Month-to-month,Fiber optic,70.08,0
66,Month-to-month,DSL,30.68,0
59,Two year,DSL,45.65,0
68,Month-to-month,DSL,35.02,0
30,Month-to-month,Fiber optic,65.81,1
28,One year,DSL,49.65,0
23,Two year,DSL,39.28,0
17,Month-to-month,Fiber optic,66.51,1
54,Month-to-month,Fiber optic,79.84,0
52,One year,Fiber optic,59.34,0
58,Month-to-month,Fiber optic,62.22,0
12,One year,Fiber optic,54.94,0
35,Month-to-month,No,15.13,0
16,Month-to-month,No,26.55,0
65,Month-to-month,Fiber optic,77.67,0
19,One year,No,15.33,0
10,Month-to-month,DSL,52.32,0
41,Month-to-month,DSL,46.26,0
64,Month-to-month,No,8.41,0
66,One year,DSL,47.09,0
7,Month-to-month,DSL,59.33,1
23,One year,Fiber optic,47.29,0
11,One year,Fiber optic,94.06,0
22,Month-to-month,No,17.67,1
38,Two year,Fiber optic,50.21,0
20,Two year,Fiber optic,71.66,1
4,Month-to-month,Fiber optic,79.97,1
37,Month-to-month,DSL,41.63,0
3,Month-to-month,Fiber optic,,1
16,Month-to-month,No,50.44,1
0,Month-to-month,Fiber optic,72.47,0
6,Two year,DSL,80.79,0
31,Two year,DSL,60.18,1
62,Month-to-month,DSL,45.62,0
56,Month-to-month,Fiber optic,73.5,1
7,Month-to-month,Fiber optic,66.17,0
2,Month-to-month,DSL,47.99,1
24,Month-to-month,DSL,51.74,1
47,Two year,Fiber optic,65.15,0
54,Two year,No,8.44,0
60,Month-to-month,DSL,60.86,0
24,One year,Fiber optic,81.68,0
12,One year,DSL,27.99,0
1,Two year,DSL,47.05,0
10,Month-to-month,DSL,57.32,0
4,Month-to-month,Fiber optic,81.08,0
62,One year,Fiber optic,61.67,0
19,Month-to-month,Fiber optic,81.79,0
60,One year,Fiber optic,70.18,0
40,Month-to-month,Fiber optic,74.66,0
39,One year,DSL,33.97,0
33,Two year,DSL,-6.08,1
59,Month-to-month,Fiber optic,60.67,0
3,Month-to-month,DSL,51.44,1
6,One year,Fiber optic,67.53,0
30,Month-to-month,Fiber optic,77.8,0
28,One year,DSL,58.27,0
39,One year,DSL,41.03,0
53,Month-to-month,Fiber optic,64.85,0
42,Two year,DSL,18.76,0
18,Month-to-month,DSL,26.43,0
23,One year,DSL,28.92,0
54,Month-to-month,No,31.68,0
14,Month-to-month,Fiber optic,66.15,1
36,Month-to-month,Fiber optic,63.59,0
39,Two year,DSL,37.22,0
54,Two year,DSL,35.65,0
52,Two year,Fiber optic,81.08,0
33,Month-to-month,Fiber optic,71.12,1
22,Month-to-month,Fiber optic,81.9,0
26,One year,Fiber optic,43.68,0
30,One year,Fiber optic,76.39,0
16,Month-to-month,No,19.19,1
45,Two year,Fiber optic,66.62,0
15,Month-to-month,DSL,61.23,0
47,Month-to-month,Fiber optic,65.32,0
54,Two year,Fiber optic,75.9,1
70,Month-to-month,No,12.78,0
8,Month-to-month,Fiber optic,70.43,1
55,One year,Fiber optic,50.91,0
6,Two year,DSL,44.31,0
24,Month-to-month,Fiber optic,74.62,0
12,One year,Fiber optic,83.28,0
11,Month-to-month,No,15.19,0
12,Month-to-month,Fiber optic,63.65,1
3,Month-to-month,DSL,37.27,0
60,Month-to-month,Fiber optic,66.95,0
4,Month-to-month,Fiber optic,58.43,0
29,Month-to-month,Fiber optic,44.11,0
51,One year,DSL,32.49,0
72,One year,Fiber optic,69.41,0
62,One year,DSL,43.22,0
10,Two year,DSL,51.63,0
72,Month-to-month,DSL,55.11,0
47,Month-to-month,Fiber optic,64.61,0
13,Month-to-month,DSL,25.97,1
32,One year,DSL,49.84,0
67,Month-to-month,Fiber optic,69.88,0
28,Month-to-month,DSL,41.9,0
13,Month-to-month,DSL,59.65,0
63,Month-to-month,No,30.41,0
69,Two year,No,26.47,0
71,One year,Fiber optic,71.97,0
69,Month-to-month,Fiber optic,80.2,0
63,One year,DSL,36.73,0
33,One year,DSL,34.44,0
14,Month-to-month,DSL,42.19,0
45,Month-to-month,Fiber optic,55.86,0
16,One year,DSL,44.45,0
34,Month-to-month,No,26.16,0
47,Month-to-month,No,24.17,0
69,Month-to-month,Fiber optic,65.66,0
21,One year,No,44.84,0
18,Two year,Fiber optic,81.29,0
53,One year,DSL,43.83,0
0,Month-to-month,Fiber optic,71.12,1
41,Month-to-month,DSL,61.52,1
54,One year,Fiber optic,62.99,0
40,Two year,Fiber optic,58.41,0
28,Two year,Fiber optic,72.72,0
60,Two year,No,29.97,0
27,Month-to-month,DSL,50.86,0
51,One year,DSL,54.93,1
33,Two year,DSL,36.21,0
1,One year,Fiber optic,53.1,1
38,One year,Fiber optic,62.99,0
3,Month-to-month,Fiber optic,76.98,1
67,One year,Fiber optic,58.94,0
43,Month-to-month,No,1.79,0
27,Month-to-month,Fiber optic,71.73,0
35,Two year,DSL,38.19,0
45,Two year,DSL,24.27,0
18,Two year,No,25.89,0
21,Month-to-month,Fiber optic,65.36,1
30,Month-to-month,No,45.11,0
18,Month-to-month,DSL,46.07,1
55,Two year,DSL,52.03,0
7,One year,DSL,44.79,0
60,Two year,Fiber optic,62.83,0
25,Month-to-month,DSL,39.15,1
40,One year,DSL,57.97,0
11,One year,DSL,53.97,0
28,Month-to-month,DSL,27.14,0
55,Two year,DSL,30.02,0
19,One year,Fiber optic,55.68,0
9,Month-to-month,Fiber optic,82.72,0
38,Month-to-month,DSL,24.22,0
11,Two year,DSL,54.44,0
22,One year,DSL,49.78,0
32,One year,Fiber optic,71.76,0
41,One year,DSL,39.32,0
46,Month-to-month,DSL,59.26,0
49,One year,DSL,46.36,0
61,Two year,Fiber optic,52.67,0
4,Month-to-month,Fiber optic,55.46,1
26,One year,DSL,25.26,0
0,Month-to-month,DSL,59.4,1
0,Month-to-month,Fiber optic,87.09,1
15,Month-to-month,DSL,58.04,0
43,Two year,Fiber optic,68.28,0
65,Month-to-month,Fiber optic,52.88,0
56,Month-to-month,Fiber optic,57.35,1
47,One year,Fiber optic,58.13,0
56,Month-to-month,DSL,44.45,0
12,One year,Fiber optic,86.65,0
61,Two year,DSL,61.6,0
64,Month-to-month,Fiber optic,64.14,0
6,Month-to-month,Fiber optic,43.16,1
34,Two year,Fiber optic,56.0,0
60,Month-to-month,Fiber optic,84.26,1
34,Month-to-month,DSL,47.78,1
61,Two year,No,20.73,0
68,Two year,DSL,39.9,0
34,One year,DSL,35.99,0
4,One year,DSL,30.55,0
24,Two year,DSL,69.86,1
15,One year,DSL,65.62,1
34,One year,DSL,35.14,0
42,Two year,Fiber optic,48.95,0
33,One year,Fiber optic,72.03,0
14,Month-to-month,DSL,43.23,0
21,Month-to-month,DSL,52.54,0
49,Month-to-month,Fiber optic,80.26,0
1,Month-to-month,No,10.96,1
15,Month-to-month,Fiber optic,85.36,1
65,Month-to-month,DSL,40.76,0
7,Two year,No,32.29,0
30,Month-to-month,Fiber optic,66.86,0
15,Month-to-month,No,36.07,0
7,Month-to-month,DSL,16.65,0
30,Month-to-month,DSL,53.86,1
38,One year,No,15.02,0
12,Month-to-month,DSL,45.88,1
5,Month-to-month,DSL,59.94,1
9,Two year,DSL,35.36,0
47,Month-to-month,Fiber optic,58.48,0
62,Month-to-month,Fiber optic,65.54,0
13,Two year,Fiber optic,64.78,1
23,One year,Fiber optic,57.4,0
25,One year,DSL,46.28,0
26,Two year,No,26.9,1
17,Two year,No,30.56,0
4,Month-to-month,Fiber optic,60.17,0
38,One year,DSL,33.67,0
26,One year,DSL,43.58,0
24,Month-to-month,Fiber optic,67.06,1
19,Two year,DSL,42.29,0
67,Month-to-month,Fiber optic,61.51,0
44,Two year,No,28.96,0
30,One year,Fiber optic,58.69,0
14,Month-to-month,DSL,43.53,1
58,Month-to-month,DSL,41.32,0
64,Two year,DSL,44.6,0
2,One year,Fiber optic,84.22,0
67,Month-to-month,Fiber optic,54.23,0
51,Month-to-month,No,-3.7,0
7,One year,Fiber optic,62.87,1
54,Month-to-month,Fiber optic,56.18,0
7,One year,No,-11.15,0
3,One year,DSL,65.96,0
8,Month-to-month,DSL,51.72,1
33,One year,Fiber optic,78.01,0
45,Month-to-month,DSL,41.57,0
29,Two year,DSL,50.05,0
8,Two year,Fiber optic,64.93,0
14,Month-to-month,Fiber optic,79.77,0
62,Month-to-month,Fiber optic,72.27,0
